央视频道,#genre#
CCTV1,http://36.46.99.53:8020/rtp/239.112.205.59:5140,0.9892
CCTV1,http://117.29.232.157:9999/rtp/239.61.3.60:9878,0.9463
CCTV1,http://114.254.38.149:4021/rtp/239.3.1.129:8008,0.9403
CCTV1,http://60.220.167.249:8083/rtp/226.0.2.153:9136,0.938
CCTV1,http://36.6.150.75:8888/rtp/238.1.78.166:7200,0.92
CCTV1,http://171.121.82.184:8082/rtp/226.0.2.16:8040,0.9028
CCTV1,http://60.220.167.143:8083/rtp/226.0.2.153:9136,0.8378
CCTV1,http://111.201.161.228:10000/rtp/239.3.1.129:8008,0.8271
CCTV1,http://222.128.179.212:4022/rtp/239.3.1.129:8008,0.7499
CCTV1,http://60.220.167.202:8084/rtp/226.0.2.18:8056,0.3498
CCTV1,http://60.220.167.143:8083/rtp/226.0.2.18:8056,0.3371
CCTV1,http://60.220.167.202:8084/rtp/226.0.2.16:8040,0.3278
CCTV1,http://60.220.167.249:8083/rtp/226.0.2.18:8056,0.3154
CCTV1,http://60.220.167.202:8084/rtp/226.0.2.153:9136,0.2903
CCTV1,http://27.11.252.156:8008/udp/225.0.4.74:7980,0.2076
CCTV1,http://183.185.167.239:8083/rtp/226.0.2.16:8040,0.1449
CCTV1,http://183.185.167.239:8083/rtp/226.0.2.18:8056,0.078
CCTV10,http://36.6.150.75:8888/rtp/238.1.78.241:7800,0.9799
CCTV10,http://36.46.99.53:8020/rtp/239.112.205.86:5140,0.9423
CCTV10,http://171.212.150.200:19999/udp/239.93.1.28:5140,0.9347
CCTV10,http://60.220.167.249:8083/rtp/226.0.2.162:9208,0.9262
CCTV10,http://171.121.82.184:8082/rtp/226.0.2.162:9208,0.8956
CCTV10,http://117.29.232.157:9999/rtp/239.61.2.176:9044,0.6792
CCTV10,http://60.220.167.202:8084/rtp/226.0.2.162:9208,0.4686
CCTV10,http://111.201.161.228:10000/rtp/239.3.1.63:8116,0.4442
CCTV10,http://27.10.211.38:8001/udp/225.0.4.130:7980,0.3847
