卫视频道,#genre#
东南卫视,http://123.183.24.27:6666/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://121.19.134.189:808/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://123.183.24.27:6666/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://121.19.134.189:808/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://123.183.24.27:6666/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://121.19.134.189:808/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://121.19.134.189:808/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://123.183.24.27:6666/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://123.183.24.27:6666/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://121.19.134.189:808/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://123.183.24.27:6666/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://121.19.134.189:808/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://121.19.134.189:808/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://123.183.24.27:6666/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://121.19.134.189:808/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://123.183.24.27:6666/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://123.183.24.27:6666/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://121.19.134.189:808/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://123.183.24.27:6666/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://123.183.24.27:6666/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://121.19.134.189:808/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://123.183.24.27:6666/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://121.19.134.189:808/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://123.183.24.27:6666/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://121.19.134.189:808/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://123.183.24.27:6666/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://123.183.24.27:6666/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://123.183.24.27:6666/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://123.183.24.27:6666/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://123.183.24.27:6666/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://123.183.24.27:6666/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
